Left,Down,Right,Up
-2.4251274086691597,-2.375251401772357,-2.4009761290769083,-2.425136480986214
-2.4249911610923576,-99.99999999999997,-2.3349629662832454,-2.400972425354197
-2.4009708448513067,-2.22494802541776,-2.400894349039201,-2.3349531861029176
-2.3348274900973895,-99.99999999999997,-99.99999999999997,-2.4008625828389896
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-2.375201366061373,-2.2921499155841243,-99.99999999999997,-2.4250603790605547
0.0,0.0,0.0,0.0
-99.99999999999997,-2.0415904807977148,-99.99999999999997,-2.3349158991290864
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-40.0
0.0,0.0,0.0,0.0
0.0,-0.4,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-2.2917369001848966,-99.99999999999997,-2.1543778577467063,-2.3743909507324217
-2.2905757066833856,-1.9272334927266894,-2.041274176220492,-99.99999999999997
-2.1206754322878645,-99.99999999993713,-1.7362416504114981,-2.223862663350867
-2.0328327448032466,-99.921635835904,-1.235404570624,-99.99952616186616
-1.6886807049011199,-0.784,-0.64,-0.4
-0.4,-0.4,-0.4,0.0
0.0,0.0,-0.4,-0.4
0.0,0.0,-40.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-99.99971569711968,-1.5501512233509218,-99.99982941827182,-2.144556782493021
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.64,-0.4,-0.496
0.0,0.0,-0.4,-0.4
0.0,-0.4,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.8704000000000001,-64.0,0.0,-78.4
-0.9222400000000001,-99.637202944,-1.4995965456705127,-1.8721908883914842
-1.3760512,-1.01824,-0.9222400000000001,-64.0
0.0,-0.784,-0.64,-87.03999999999999
-0.784,0.0,0.0,-0.4
0.0,0.0,0.0,0.0
-40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-64.0,-0.64,-0.4,-0.58816
-0.4,0.0,-64.0,-0.4
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.4,0.0,0.0
-0.4,0.0,-40.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.4,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-40.0,0.0,0.0
-0.4,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
